Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00164,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/21/25 14:01,"12/18/2024  16:00 - 1/21/25
10:15",2400 Durant Av; Unit-3,Inactive
25-00165,INFO: Information Only Report,1/21/25 14:33,1/21/25 14:33,Campus Unspecified,Inactive
25-00166,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,1/21/25 15:41,"01/21/2025  15:41 - 1/21/25
15:45",Dwight Wy  & Dana St,Closed
25-00167,Caslty: Injury/Illness WELFARE: Welfare Check,1/21/25 15:55,"01/21/2025  15:55 - 1/21/25
16:00",2222 Bancroft Wy; Tang Center,Inactive
25-00168,484(A): PC; Theft Of Personal Property; Misdemeanor,1/21/25 16:25,"01/21/2025  15:00 - 1/21/25
15:05",Stanley Hall #106,Inactive
25-00169,647(J)(1): PC; Peek Bedroom/Etc Inv Priv; Misdemeanor,1/21/25 20:02,"01/21/2025  17:47 - 1/21/25
17:48 - *01/20/2025  *17:50 - *1/20/25
*17:51","1950 Oxford St #908C; Anchor House, *1950 Oxford St #908A; Anchor House",Inactive
25-00170,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,1/21/25 21:34,01/21/2025  21:34 - 01/21/2025  00:00  -  01/21/2025  23:59,1051 Monroe St; Xucyun Ruwway Apartments,Closed
25-00171,SUPP: Supplemental Reports 207(A): PC; Kidnapping; Felony 220(A)(1): PC; Assault W/Int To Rape/Etc; Felony,1/21/25 23:03,"01/21/2025  19:30 - 1/21/25
20:00",UVA Ballfields,Active
25-00172,594(A)(1): PC; Vandalism:deface Property; Felony,1/21/25 23:21,"01/21/2025  23:16 - 1/21/25
23:17 - 01/22/2025  00:00  -  01/22/2025  23:59",O'Brien Hall,Inactive
25-00173,Caslty: Injury/Illness,1/22/25 7:06,"01/22/2025  07:06 - 1/22/25
 7:07",Sproul Hall; UCPD,Inactive
25-00174,OA-BPD: Outside Assist - BPD OA-THEFT: Outside Assist - Theft,1/22/25 7:16,*Unknown,*Unknown,Inactive
25-00176,Lost Prop.: Lost Property,1/22/25 10:02,"*01/01/1986 *00:00 - 1/22/25
*10:02",North Gate Hall,Inactive
25-00177,484(A): PC; Petty Theft; Misdemeanor,1/22/25 10:43,"01/20/2025  18:30 - 1/20/25
19:30",2401 Durant Av; Blackwell Hall,Inactive
25-00178,Found Property: Found Property,1/22/25 11:16,"01/21/2025  20:30 - 1/22/25
11:00",Wickson Natural Area; Haviland Grove,Inactive
25-00179,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/22/25 11:26,"01/22/2025  09:30 - 1/22/25
11:10",Dwinelle Hall,Inactive
25-00180,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,1/22/25 14:11,"01/22/2025  14:01 - 1/22/25
14:12",People's Park Housing Construction Site,Inactive
25-00181,Lost Prop.: Lost Property,1/22/25 12:59,"*01/01/2022  *00:00 - *12/31/22
 *23:59",Stanley Hall,Inactive
25-00182,5150: WI; 72 Hour Mental Health Hold;,1/22/25 17:52,"01/22/2025  17:52 - 1/22/25
18:00",Sproul Hall; UCPD,Inactive
*25-00183,*12500 (A): VC; Drive Without License; Misdemeanor,*01/22/2025  *18:51,"*01/22/2025  *18:51 - *1/22/25
*19:13",*Dana St & Durant Av,*Inactive
25-00184,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/22/25 19:11,"01/22/2025  16:00 - 1/22/25
19:00",Wheeler Hall,Inactive
25-00185,484(A): PC; Theft Of Personal Property; Misdemeanor,1/22/25 18:45,"01/22/2025  17:45 - 1/22/25
18:35 - University of California PD, Berkeley - Daily Crime Log - 01/22/2025  00:00  -  01/22/2025  23:59",Dwinelle Hall,Inactive
25-00186,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/22/25 19:16,1/22/25 - 01/23/2025  00:00  -  01/23/2025  23:59,"01/22/2025  17:30, 19:16",Dwinelle Hall
25-00187,530: PC; Personate To Get Money/Property [over $400]; Felony 487(A): PC; Grand Theft:money/Labor/Property; Felony,1/23/25 6:41,"01/23/2025  03:45 - 1/23/25
 7:45",California Hall,Inactive
25-00188,484(A): PC; Theft Of Personal Property; Misdemeanor,1/23/25 7:13,"*12/15/2024  12:00 - 9:00
*1/22/25",2400 Durant Av; Unit-3,Inactive
25-00189,WELFARE: Welfare Check,1/23/25 10:23,1/23/25 10:23,Upper Sproul Plaza,Inactive
25-00190,Found Property: Found Property,1/23/25 10:09,1/23/25 10:09,Sproul Hall; UCPD,Inactive
25-00191,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/23/25 10:33,"12/17/2024  15:00 - 1/23/25
 8:00",2400 Durant Av; Unit-3,Inactive
25-00192,INFO: Information Only Report,1/23/25 14:27,"09/13/2024  00:01 - 1/23/25
14:27",Campus Unspecified,Active
25-00193,Caslty: Injury/Illness,1/23/25 14:41,"01/23/2025  14:41 - 1/23/25
14:57",2301 Bancroft Wy; RSF,Inactive
25-00194,484(A): PC; Petty Theft; Misdemeanor,1/23/25 14:25,"01/16/2025  13:00 - 1/20/25
18:30",2400 Durant Av; Unit-3,Inactive
25-00195,594(A)(1): PC; Vandalism:deface Property; Felony,1/23/25 10:22,1/20/25 4:15,2223 Fulton St; Edwards Track Stadium,Active
25-00196,Civil: Civil Information Report,1/23/25 15:16,"01/23/2025  13:30 - 1/23/25
13:33",Stanley Hall,Inactive
25-00197,415(1): PC; Fight/Challenge Fight Public Place; Misdemeanor,1/23/25 17:59,"01/23/2025  17:59 - 1/23/25
18:00",Upper Sproul Plaza,Active
25-00198,476: PC; Make/Pass/Etc Ficticious Check With Intent To Defraud; Felony,1/23/25 16:45,"01/23/2025  15:16 - 1/23/25
15:17 - 01/23/2025  00:00  -  01/23/2025  23:59",1608 Fourth St; Shared Services,Active
25-00199,594(B)(2)(A): PC; Vandalism Less Than $400; Misdemeanor SUPP: Supplemental Reports,1/23/25 20:51,"01/23/2025  20:49 - 1/23/25
20:50",2301 Bancroft Wy; RSF,Closed
25-00200,Casualty-Alcoholol Inv: Injury/Illness - Alcohol  OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/23/25 23:23,"01/23/2025  23:22 - 1/23/25
23:23",Dwight Wy  & Piedmont Av,Inactive
25-00201,2800.1(A): VC; Evading Peace Officer; Misdemeanor,1/24/25 1:58,"01/24/2025  01:56 - 1/24/25
 2:00",Warring St  & Derby St,Active
25-00202,PRODAM: Property Damage,1/24/25 6:17,1/24/25 6:17,1 Cyclotron Rd; LBNL,Inactive
25-00203,SUPP: Supplemental Reports 647(A): PC; Solicit Lewd Act In Public; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 626: Exclusion Order Issued,1/24/25 8:02,"01/24/2025  08:02 - 1/24/25
 8:03",2222 Bancroft Wy; Tang Center,Closed
25-00204,INFO: Information Only Report,1/24/25 9:40,"01/22/2025  19:00 - 1/24/25
10:15",2401 Durant Av; Blackwell Hall,Inactive
25-00205,273.6(A): PC; Viol Crt Ord Dom Violence; Misdemeanor *Stalking,1/24/25 7:59,"01/24/2025  07:59 - 1/24/25
 7:59",**University Village,Inactive
25-00206,459: PC; Burglary:first Degree; Felony 594(A)(1): PC; Vandalism:deface Property; Felony,1/24/25 10:38,"12/15/2024  00:01 - 1/6/25
 0:59",1301 S. 46th St; RFS,Inactive
25-00207,INFO: Information Only Report,1/24/25 11:28,"01/24/2025  11:28 - 1/24/25
11:28",Bauer Wurster Hall,Inactive
25-00208,Found Property: Found Property,1/24/25 12:34,"01/24/2025  12:34 - 1/24/25
13:41",Sproul Hall; UCPD,Inactive
25-00209,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,1/24/25 13:15,"01/24/2025  13:15 - 1/24/25
13:16",1608 Fourth St; Shared Services,Inactive
25-00210,Caslty: Injury/Illness,1/24/25 14:48,"01/24/2025  14:48 - 1/24/25
15:00 - 01/24/2025  00:00  -  01/24/2025  23:59",2301 Bancroft Wy; Recreational Sports Facility,Inactive
25-00211,484(A): PC; Theft Of Personal Property; Misdemeanor,1/24/25 15:16,"01/24/2025  14:00 - 1/24/25
15:15",Dwinelle Plaza,Inactive
25-00212,626: Exclusion Order Issued SUPP: Supplemental Reports 240: PC; Assault On Person; Misdemeanor,1/24/25 17:52,1/24/25 17:52,1123 Jackson St,Inactive
25-00213,594(B)(1): PC; Vandalism ($400 Or More); Felony,1/24/25 17:33,"01/24/2025  09:15 - 1/24/25
17:30",Frank Schlessinger Wy,Active
25-00214,484G(B): PC; Unauth Use Accss Crd 950+; Felony,1/24/25 20:35,"01/16/2025  12:00 - 1/24/25
20:34",1051 Monroe St; Xucyun Ruwway Apartments,Active
25-00215,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,1/24/25 21:20,"01/24/2025  21:19 - 1/24/25
21:21",Starr East Asian Library,Active
25-00216,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,1/24/25 23:01,"01/24/2025  23:00 - 1/24/25
23:01",2650 Haste St; Unit-2 Ehrman,Inactive
25-00217,"OUT WRTF: Other Agency Warrant, Fel 978.5: PC; Bench Warrant/Failure To Appear On Felony Charge; Felony 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor",1/24/25 23:21,"01/24/2025  23:21 - 1/24/25
23:22 - 01/25/2025  00:00  -  01/25/2025  23:59",Kula Gulf Wy  & Ohlone Av,Closed
25-00218,Caslty: Injury/Illness,1/25/25 0:52,"01/25/2025  00:51 - 1/25/25
 0:52",2650 Haste St; Unit-2 Griffith,Inactive
25-00219,Casualty-Alcoholol Inv: Injury/Illness - Alcohol  OA-NON-CRIMINAL: Outside Assist - Non-Criminal,1/25/25 1:28,"01/25/2025  01:27 - 1/25/25
 1:28",CAFE STRADA,Inactive
25-00220,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,1/25/25 2:09,"01/25/2025  02:08 - 1/25/25
 2:23",2424 Haste St; Rochdale Village,Inactive
25-00221,Found Property: Found Property,1/25/25 11:41,1/25/25 11:41,Dwinelle Hall,Inactive
25-00222,INFO: Information Only Report,1/25/25 15:02,1/25/25 15:02,Sproul Hall; UCPD,Inactive
25-00223,SUPP: Supplemental Reports 23152(A): VC; Dui Alcohol; Misdemeanor 23152(B): VC; Dui Alcohol/008 Percent; Misdemeanor,1/25/25 23:02,"01/25/2025  23:02 - 1/25/25
23:02",Fulton St  & Haste St,Closed
25-00227,451(D): PC; Arson:property; Felony,1/27/25 0:19,"01/26/2025  09:01 - 1/26/25
 9:02",2645 Haste St; Underhill Parking Structure,Active
25-00228,SUPP: Supplemental Reports 647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor 11377(A): HS; Possess Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 466: PC; Possess/Etc Burglary Tools; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 529(A)(3): PC; Personate To Make Other Liable; Felony,1/27/25 1:12,"01/27/2025  01:07 - 1/27/25
 1:18",2232 Piedmont Av,Closed
25-00229,SUPP: Supplemental Reports 451(D): PC; Arson:property; Felony 148.9(A): PC; Give False Id To Po; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde,1/27/25 6:41,"01/27/2025  06:35 - 1/27/25
 6:41",2650 Haste St; Unit-2 Griffith,Closed
25-00230,Caslty: Injury/Illness,1/27/25 9:23,1/27/25 7:07,2650 Haste St; Unit-2 Griffith,Inactive
25-00231,Lost Prop.: Lost Property,1/27/25 10:47,"01/25/2025  08:00 - 1/25/25
 8:05",McLaughlin Hall,Inactive
25-00232,Caslty: Injury/Illness,1/27/25 12:38,"01/27/2025  12:38 - 1/27/25
12:39",Lower Fire Tr,*Inactive
25-00233,Lost Prop.: Lost Property,1/27/25 15:39,"04/01/2024  00:00 - 4/30/24
 0:00 - 01/27/2025  00:00  -  01/27/2025  23:59",McLaughlin Hall,*Inactive
25-00234,Found Property: Found Property,1/27/25 15:23,"01/27/2025  10:00 - 1/27/25
10:05",2650 Haste St; Unit-2,Inactive
25-00235,484(A): PC; Theft Of Personal Property; Misdemeanor,1/27/25 16:21,"01/27/2025  15:30 - 1/27/25
15:35",Memorial Stadium,Inactive
25-00236,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/27/25 15:47,"01/22/2025  20:00 - 1/23/25
 8:20",Physics Building,Inactive
25-00237,Found Property: Found Property,1/27/25 22:34,01/27/2025  22:34 - 01/28/2025  00:00  -  01/28/2025  23:59,2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00238,Caslty: Injury/Illness,1/28/25 4:23,"01/28/2025  04:23 - 1/28/25
 4:34",1051 Monroe St; Xucyun Ruwway Apartments,Inactive
25-00239,INFO: Information Only Report,1/28/25 5:30,"01/28/2025  05:30 - 1/28/25
 5:31",1950 Oxford St #1233; Anchor House,Active
25-00240,594(A)(1): PC; Vandalism:deface Property; Felony,1/28/25 8:55,"01/13/2025  00:00 - 1/21/25
 6:30",2223 Fulton St; Edwards Track Stadium,Inactive
25-00241,INFO: Information Only Report,1/28/25 12:29,"01/24/2025  17:15 - 1/28/25
11:45",2339 Haste St; Haste Child Development Center,Inactive
25-00242,INFO: Information Only Report,1/28/25 15:13,"01/24/2025  07:00 - 1/24/25
23:59",Koshland Hall,Inactive
25-00243,Caslty: Injury/Illness,1/28/25 15:50,1/28/25 15:50,2650 Durant Av; Unit-1,Inactive
25-00244,Lost Prop.: Lost Property,1/28/25 15:45,"05/01/2023  00:01 - 5/2/23
 0:01",Physics Building,Inactive
25-00245,INFO: Information Only Report,1/28/25 15:47,"*01/22/2025  *UNK - *1/27/25
*20:53",Sproul Hall; UCPD,*Active
25-00246,261(A)(2): PC; Rape By Force/Fear/Etc; Felony *(multiple) *Dating Violence (multiple),1/28/25 16:34,"10/01/2023  00:00 - 1/25/25
21:00",**1900 Block of Oxford St,Active
25-00247,20002 (A): VC; Hit and Run:property Damage; Misdemeanor,1/28/25 18:39,"01/28/2025  09:00 - 1/28/25
17:30",Senior Hall,Inactive
25-00248,626: Exclusion Order Issued 647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor 602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,1/28/25 22:38,"01/28/2025  22:38 - 1/28/25
23:28",540 Red Oak Av; UVA-148,Inactive
25-00249,Found Property: Found Property,1/28/25 23:24,"01/28/2025  23:24 - University of California PD, Berkeley - Daily Crime Log - 01/28/2025  00:00  -  01/28/2025  23:59 - 1/28/25 - 01/29/2025  00:00  -  01/29/2025  23:59","Social Sciences Building, 23:25",Inactive
25-00250,594(A)(1): PC; Vandalism:deface Property; Felony,1/29/25 9:18,"01/23/2025  13:30 - 1/26/25
17:00",UVA Ballfields,Inactive
25-00251,487(A): PC; Grand Theft:money/Labor/Property; Felony,1/29/25 9:33,"01/28/2025  00:00 - 1/29/25
 2:00",600 Gooding Wy; UVA-143,Inactive
25-00252,INFO: Information Only Report,1/29/25 9:35,"01/29/2025  09:35 - 1/29/25
10:29",Law Building,Inactive
25-00253,Caslty: Injury/Illness,1/29/25 10:56,"01/29/2025  10:56 - 1/29/25
11:05",Starr East Asian Library; East Asian Library,Inactive
25-00254,Caslty: Injury/Illness,1/29/25 13:44,1/29/25 13:44,2465 Bancroft Wy; Eshleman Hall,Inactive
25-00255,DEMO: Demonstration,1/29/25 15:06,"01/29/2025  15:06 - 1/29/25
17:58",Upper Sproul Plaza,Inactive
25-00256,INFO: Information Only Report,1/29/25 15:18,1/29/25 15:18,Lower Sproul Garage,Inactive
25-00257,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,1/29/25 14:15,"01/22/2025  16:00 - 1/28/25
15:40",725 Kula Gulf Wy; UVA-157,Inactive
25-00258,INFO: Information Only Report,1/29/25 14:55,1/29/25 14:55,**University Village Apartments; UVA,Inactive
25-00259,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/29/25 15:52,"01/28/2025  15:27 - 1/28/25
15:29",2220 Piedmont Av; Haas School Of Business,Inactive
25-00263,OA-BPD: Outside Assist - BPD *OA-OTHER CRIME: Outside Assist - Other Crime,1/29/25 9:39,"*01/16/2025  *00:01 - *1/16/25
*23:59 - 01/30/2025  00:00  -  01/30/2025  23:59",UNKNOWN; Unknown Off-Campus Location,Inactive
25-00261,OA-BPD: Outside Assist - BPD OA-OTHER CRIME: Outside Assist - Other Crime,1/30/25 0:23,"01/30/2025  00:23 - 1/30/25
 0:24",2439 Durant Av,Inactive
25-00262,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,1/30/25 9:38,"01/30/2025  08:29 - 1/30/25
 8:30",Li Ka Shing Center,Inactive
25-00264,SUPP: Supplemental Reports PRODAM: Property Damage,1/30/25 10:35,"01/30/2025  10:35 - 1/30/25
 10:36",Foothill Lot,Inactive
25-00265,SUPP: Supplemental Reports 148.9(A): PC; Give False Id To Po; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor,1/30/25 9:53,"01/30/2025  09:53 - 1/30/25
 10:17",2427 Dwight Wy; Dwight Child Care,Closed
25-00266,INFO: Information Only Report,1/30/25 13:24,"09/09/2024  00:00 - 1/27/25
23:59",2434 Warring St,Inactive
25-00267,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,1/30/25 14:22,"01/20/2025  13:03 - 1/28/25
23:59",2650 Haste St #711; Unit-2 Griffith,Inactive
25-00268,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/30/25 14:21,"01/30/2025  12:30 - 1/30/25
14:00",Bauer Wurster Hall; Wurster Hall,Inactive
25-00269,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/30/25 15:51,"01/30/2025  14:00 - 1/30/25
15:30",Genetics & Plant Biology Building; GPB,Inactive
25-00270,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/30/25 15:56,"01/29/2025  16:00 - 1/29/25
17:00",Wheeler Hall,Inactive
25-00271,242: PC; Battery On Person; Misdemeanor,1/30/25 18:19,"01/30/2025  18:17 - 1/30/25
18:19",Sather Gate,Inactive
25-00272,INFO: Information Only Report,1/30/25 19:57,"01/30/2025  19:00 - 1/30/25
20:16 - 01/30/2025  00:00  -  01/30/2025  23:59",2600 Ridge Rd; Cloyne Court,Inactive
25-00273,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/30/25 21:19,"01/30/2025  20:48 - 1/30/25
20:50",Haas Pavilion,Active
25-00274,166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor,1/30/25 23:01,"01/30/2025  23:00 - 1/30/25
23:01",2645 Haste St; Underhill Parking Structure,Closed
25-00275,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/30/25 18:29,"01/30/2025  13:00 - 1/30/25
18:00 - 01/31/2025  00:00  -  01/31/2025  23:59",Physics Building,Active
25-00276,484(A): PC; Theft Of Personal Property; Misdemeanor,1/31/25 10:23,"01/31/2025  04:00 - 1/31/25
 9:45",600 Red Oak Av #622; UVA-139,Inactive
25-00277,INFO: Information Only Report,1/31/25 10:37,1/31/25 10:37,2220 Piedmont Av; Haas School Of Business,Active
25-00278,Lost Prop.: Lost Property,1/31/25 13:13,"01/31/2025  07:00 - 1/31/25
 7:30",Memorial Stadium,Inactive
25-00279,OA-DV: Outside Assist - Domestic Violence OA-BPD: Outside Assist - BPD OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault,1/31/25 15:12,"01/31/2025  09:00 - 1/31/25
10:00",*2600 Block of Haste St,Inactive
25-00280,INFO: Information Only Report,1/31/25 15:16,"01/31/2025  15:00 - 1/31/25
15:30",786 Red Oak Av #791; UVA-136,Inactive
25-00281,Caslty-Drug Inv: Injury/Illness - Drug,1/31/25 18:33,"01/31/2025  18:33 - 1/31/25
19:44",2650 Durant Av; Unit-1 Slottman,Inactive
25-00282,626: Exclusion Order Issued,1/31/25 21:51,"01/31/2025  21:51 - 1/31/25
21:51",1051 Monroe St; Xucyun Ruwway Apartments,Inactive
25-00283,"OUT WRTF: Other Agency Warrant, Fel 978.5: PC; Bench Warrant/Failure To Appear On Felony Charge; Felony",1/31/25 22:28,"01/31/2025  22:30 - 1/31/25
22:31",2301 Bancroft Wy; RSF Garage,Closed
