Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
2024-00 003072,2/10/24,Underage Possession of Alcohol,200 Stanger St,2/10/24 20:08,Inactive: Referred to Student Conduct
2024-00 003077,2/12/24,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher Wing),2/10/24 21:40,Inactive: Referred to Student Conduct
2024-00 003153,2/11/24,"Larceny, Theft from Building",570 Washington St SW (Hoge Hall),02/09/2024- 2/11/24 15:00,Inactive
2024-00 003160,2/12/24,Public Intoxication/ Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),2/12/24 1:38,Inactive: Referred to Student Conduct
2024777 7,12/15/23,Underage Possession of Alcohol X 2,201 Ag Quad Ln (Slusher Wing),12/15/23,Inactive: Referred by Student Conduct
2024839 0,1/21/24,Underage Possession of Alcohol,201 Ag Quad Ln (Slusher Wing),1/21/24,Inactive: Referred by Student Conduct
2024-00 003185,2/12/24,Vandalism/destruction of Property,250 Drillfield Dr (Hutcheson Hall),02/09/2024- 2/12/24 17:00,Inactive
2024-00 003197,2/12/24,"Larceny, all Other",2093 Oak Ln  (Between Duck Pond Overflow Lot /Duck,02/09/2024- 2/12/24 13:00,Inactive
2024-00,2/12/24,Stalking,Pond 290 College Ave (Squires,02/12/2024- 12:30,Inactive
003205 2024-00,2/12/24,"Larceny, Theft from Building",Student Center) 201 Ag Quad Ln (Slusher,2/12/24 02/12/2024- 20:59,Inactive
3208,,,Wing),2/13/24,
,,,,,
2024842 3,1/20/24,Underage Possession of Alcohol,185 Kent St (CID Bldg),1/20/24,Inactive: Referred by Student Conduct
2024883 6,1/26/24,"Larceny, Theft from Building",150 Kent St (Owens Hall),1/26/24,Inactive: Referred by Student Conduct
2024844 2,1/20/24,Underage Possession of Alcohol,720 Washington St SW (West AJ),1/19/24,Inactive: Referred by Student Conduct
2024-00 003250,2/13/24,Fake ID,290 College Ave (Squires Student Center),2/13/24 14:30,Inactive: Referred to Student Conduct
2024-00 003255,2/13/24,"Larceny, all Other",200 Kent St (Newman Hall),02/05/2024- 2/13/24 08:00,Inactive
2024-00 003267,2/13/24,"Larceny, Theft from Building/Grand Larceny",290 College Ave (Squires Student Center),02/13/2024- 2/13/24 16:27,Inactive
2024-00 003268,2/13/24,Vandalism/destruction of Property,185 Kent St (CID Bldg),2/13/24 19:00,Unfounded
2024-00 003333,2/14/24,Fraud/Obtaining Money by False Pretenses Via Internet,240 Kent St (Whitehurst Hall),2/13/24 17:00,Active
2024834 7,1/18/24,Underage Possession of Alcohol,190 West Campus Dr (New Hall West),1/18/24,Inactive: Referred by Student Conduct
2024-00 003391,2/15/24,Burglary,185 Kent St (CID Bldg),01/24/2024- 1/25/24 23:00,Inactive
2024-00 003439,2/15/24,"Larceny, Theft from Auto / Tampering with Vehicle",206 Barger St,2/15/24 13:54,Inactive
2024-00 003465,2/15/24,"Larceny, all Other",225  Stanger St (McBryde Hall),02/13/2024- 2/14/24 18:00,Inactive
2024-00 003467,2/15/24,"Larceny, all Other",570 Washington St SW (Hoge Hall),12/14/2023- 2/4/24 16:00,Inactive
2024-00 003472,2/16/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),2/16/24 2:01,Inactive: Referred to Student Conduct
2024-00 003528,2/16/24,Underage Possession of Alcohol/Fake ID,607 Duck Pond Dr,2/16/24 20:18,Inactive: Referred to Student Conduct
,,,,,
2024-00,2/17/24,Public Intoxication/ Underage Possession of,290 College Ave (Squires,2/17/24 0:15,CBA
003554 2024-00,2/17/24,Alcohol/Fake ID Public Intoxication/ Underage Possession of,Student Center) 630 Washington St SW,2/17/2024 35,CBA
003559 2024-00,2/17/24,Alcohol/Fake ID Public Intoxication,(Pritchard Hall) 185 Kent St (CID Bldg),2/17/24 0:44,CBA
003560 2024-00,2/17/24,Public Intoxication,180 Kent St (Vawter Hall),1/17/24 1:18,CBA
003563 2024-00,2/17/24,Vandalism/destruction of Property,530 Washington St SW,02/16/2024- 23:30,Inactive
003564 2024-00,2/17/24,Public Intoxication/ Underage Possession of,(O'Shaughnessy Hall) 300 Drillfield Dr (Campbell,2/17/24 2/17/24 01:46,Inactive: Referred to
003566 2024-00,2/17/24,Alcohol Public Intoxication/Uderage Possession of,Main) 410 Washington St SW (Miles,2/17/24 3:00,Student Conduct CBA
003572 2024-00,2/17/24,Alchol Underage Possession of Alcohol,Hall) 190 West Campus Dr (New,2/17/24 18:32,Inactive: Referred to
003597 2024-00,2/17/24,Vandalism/destruction of Property,Hall West) 590 Washington St SW (New,2/17/24 20:50,Student Conduct Inactive: Referred to
003607 2024-00,2/17/24,Underage Driving After Consuming Alcohol/,Residence Hall East 850 Prices Fork Rd,2/17/24 22:25,Student Conduct CBA
003612 2024-00,2/18/24,Fake ID Driving Under the Influence of Alcohol/,219 College Ave,2/18/24 1:56,CBA
3631,,Possession of Controlled I 0r II Substance/ Possession of Unlawful Chemical,,,
2024-00 003633,2/18/24,Underage Possession of Alcohol,610 Washington St SW (Peddrew Yates Hall),2/18/24 2:15,Inactive: Referred to Student Conduct
2024-00 003660,2/18/24,Motor Vehicle Theft,(Engel Lot) near  240 West Campus Dr,02/16/2024- 2/18/24 08:00,Inactive
2024-00 003680,2/18/24,Fraud/ Fake ID,850 Prices Fork Rd,2/17/24 23:40,CBA
2024-00 003684,2/18/24,Computer Criime,700 Washington St SW (East AJ),02/15/2024- 2/18/24 16:34,Active
,,,,,
2024-00,2/18/24,Underage Possession of Alcohol,610 Washington St SW,2/18/24 2:15,Inactive: Referred to
003633 2024-00,2/20/24,"Larceny, Theft from Building",(Peddrew Yates Hall) 185 Kent St (CID Bldg),02/19/2024- 12:00,Student Conduct Active
003800 2024-00,2/21/24,Falsely Summons Law Enforcement,200 Kent St (Newman Hall),2/20/24 2/21/24 03:07,Inactive
003871 2024-00,2/21/24,Fraud,190 Alumni Mall,2/21/24 17:45,Inactive
003917 2024928,2/3/24,Underage Possession of Alcohol,630 Washington St SW,2/3/24,Inactive: Referred by
3 2024-00,2/21/24,Aggravated Assault/Abduction & Kidnapping/,(Pritchard Hall) 201 Ag Quad Ln (Slusher,2/21/24 22:43,Student Conduct CBA
003937 2024-00,2/22/24,Assault & Battery/Dating Violence Public Intoxication/Uderage Possession of,Hall) 201 Ag Quad Ln (Slusher,02/21/2024- 23:05,CBA
3939,,Alchol/Underage Possession of Tobacco/ Obstructing Justice,Wing),2/22/24,
2023971 5,4/15/23,Underage Possession of Alcohol,410 Washington St SW (Miles Hall),4/14/23,Inactive: Referred by Student Conduct
2024883 7,1/26/24,"Larceny, theft from Building",150 Kent St (Owens Hall- Hokie Grill),1/26/24,Inactive: Referred by Student Conduct
2024895 40,1/28/24,Underage Possession of Alcohol,610 Washington St SW (Peddrew Yates Hall),1/27/24,Inactive: Referred by Student Conduct
2024915 0,2/1/24,"Larceny, theft from Building",150 Kent St (Owens Hall- Hokie Grill),2/1/24,Inactive: Referred by Student Conduct
2024-00 003985,2/22/24,Motor Vehicle Theft,320 Drillfield Dr (Campell Hall East),2/22/24 13:00,Inactive
2024-00 004000,2/22/24,"Larceny, theft from Building/Grand Larceny/ theft from Building",225 Stanger St (McBryde Hall),02/19/2024- 2/20/24 22:30,Active
2024-00 004013,2/22/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,180 Kent St (Vawter Hall),2/22/24 23:13,Inactive: Referred to Student Conduct
2024-00 004028,2/23/24,Driving Under the Influence of Alcohol,145 Kent St,2/23/24 1:38,CBA
,,,,,
2024-00,2/23/24,Vandalism/destruction of Property,290 College Avenue (Squires,2/22/24 20:45,Active
004045 2024-00,2/23/24,Fraud/Obtaining Money by False Pretenses,Student Center) 440 Drillfield Dr (Eggleston,02/22/2024- 21:46,Inactive: Referred to
004055 2024-00,2/23/24,"Via Internet Larceny, theft from Building",Main) 895 Washington St SW,2/23/24 2/20/24 17:00,Student Conduct Active
004073 2024-00,2/23/24,Underage Possession of Alcohol X 2,(Mcomas Hall) 180 Kent St (Vawter Hall),2/23/24 22:32,Inactive: Referred to
004112 2024-00,2/23/24,Underage Possession of Alcohol,180 Kent St (Vawter Hall),2/23/24 22:35,Student Conduct Inactive: Referred to
004114 2024-00,2/23/24,Underage Possession of Alcohol  X 4,570 Washington St SW (Hoge,2/24/2024 38,Student Conduct Inactive: Referred to
004145 2024-00,2/24/24,Public Intoxication/Underage Possession of,Hall) 570 Washington St SW (Hoge,2/24/24 1:13,Student Conduct Inactive: Referred to
004150 2024-00,2/24/24,Alcohol/Fake ID Underage Possession of Alcohol,Hall) 180 Kent St (Vawter Hall),2/24/24 1:16,Student Conduct Inactive: Referred to
004151 4024-00,2/24/24,Public Intoxication,620 Drillfield Dr (Torgerson,2/24/24 1:48,Student Conduct Inactive: Referred to
004153 2024-00,2/24/24,"Larceny, theft of Auto parts",Hall) 200 Garden Lane,2/24/24 13:20,Student Conduct Asst BPD
004178 2024-00,2/25/24,Public Intoxication,530 Washington St SW,2/25/24 2:15,Inactive: Referred to
004245 2024-00,2/25/24,Falsely Summons Law Enforcement,(O'Shaughnessy Hall) 240 Kent St (Whitehurst Hall),2/25/24 3:49,Student Conduct Active
004252 2024-00,2/25/24,Fake ID,285 Ag Quad Ln (Dietrick,2/25/24 8:15,Inactive: Referred to
004253 2024-00,2/28/24,"Larceny, theft from Building",Hall) 225 Stanger St (McBryde,2/28/24 12:00,Student Conduct Unfounded
004508 2024720,12/2/23,Underage Possession of Alcohol,Hall) 185 Kent St (CID Bldg),12/2/23,Inactive: Referred by
9,,,,,Student Conduct
,,,,,
2024932 6,2/2/24,Underage Possession of Alcohol X 3,200 Kent St (Newman Hall),2/2/24,Inactive: Referred by Student Conduct
2024947 4,2/6/24,"Larceny, theft from Building",150 Kent St (Owens Hall- Hokie Grill),2/6/24,Inactive: Referred by Student Conduct
2024-00 004576,2/29/24,Scams/Obtaining Money by False Pretenses Via Internet,190 West Campus Dr (New Hall West),2/29/24 16:09,Active
2024-00 004619,3/1/24,Public Intoxication,167 Kent St,3/1/24 2:39,CBA
2024-00 004651,3/1/24,Fraud,190 West Campus Dr (New Hall West),02/28/2024- 3/1/24 15:00,Inactive
2024-00 004700,3/1/24,Public Intoxication,"895 Washington St SW (sidewalk, Schiffert Health",3/1/24 23:02,Inactive: Referred to Student Conduct
2024-00,3/2/24,Vandalism/destruction of Property,Center) 258 Plantation Rd NW,02/29/2024- 17:00,Active
4725,,,MONTHLY CRIME LOG: MARCH 2024,3/2/24,
,,,,nan,
2024-00 004856,3/5/24,"Larceny, theft from Building",185 Ag Quad Ln (Smyth Hall),11/06/2023- 2/26/24 00:00,CBA
2024-00 004897,3/6/24,Vandalism/destruction of Property,140 Otey St NW  (Architecture Annex),03/04/2024- 3/5/24 17:15,Inactive
2024-00 004967,3/8/24,"Larceny, theft from Building",185 Ag Quad Ln (Smyth Hall),07/01/2023- 2/7/24 00:00,Active
2024-00 004978,3/8/24,"Larceny, theft from Building",185 Ag Quad Ln (Smyth Hall),06/05/2023- 2/7/24 00:00,Active
2024-00 005119,3/10/24,"Larceny, theft from Building",185 Ag Quad Ln (Smyth Hall),01/11/2024- 1/13/24 11:00,Active
2024-00 005175,3/10/24,Underage Possession of Alcohol X 2,300 Drillfield Dr (Campbell Main Hall),3/10/24 22:42,Inactive: Referred to Student Conduct
2024-00 005247,3/11/24,"Larceny, theft from Auto/ Attempted Theft of Motor Vehicle/Vandalism/destruction of",155 Otey St NW (Graduate Life Center),3/3/24 4:45,Active
2024-00,3/11/24,"Property Larceny, theft from Building",1327 Perry St (Burchard Hall),03/01/2024- 16:30,Inactive
005251 2024-00,3/12/24,"Injuring, destroying, removing, or tampering",3205 Oak Lane (SPH-H),3/11/24 3/12/24 19:44,Inactive: Referred to
005354 2024-00,3/13/24,with firefighting equipment Petit Larceny,325 Stanger Street (outside,02/29/2024- 15:00,Student Conduct Inactive
005385 2024-00,3/13/24,"Larceny, theft from Building",Kelly Hall) 290 College Avenue (Squires),3/3/24 03/12/2024- 16:44,Unfounded
005431 2024-00,3/14/24,Underage Possession of Alcohol,630 Washington Street,3/13/24 3/14/24 20:13,Inactive: Referred to
5521,,,(Pritchard Hall),,Student Conduct
,,,,,
2024-00 005566,3/15/24,"Public Intoxication, Underage Posssession of Alcohol, Fake ID",Draper Road NW / Roanoke St,3/15/24 0:30,CBA
2024-00 005572,3/15/24,"Public Intoxication, Underage Possession of Alcohol",217 College Avenue (sidewalk in front of TOTS),3/15/24 1:00,CBA
2024-00 005648,3/15/24,False Alarm for Fire,530 Washington St SW (O'Shaughnessy),3/15/24 21:12,Inactive
2024-00 005648,3/15/24,Underage Possession of Alcohol X 3,530 Washington St SW (O'Shaughnessy),3/15/24 21:12,Inactive: Referred to Student Conduct
2024-00 005661,3/15/24,"Public Intoxication, Underage Possession of Alcohol, False Statement to LE",155 Otey St NW (Graduate Life Center),3/15/24 22:59,Inactive: Referred to Student Conduct
2024-00 005661,3/15/24,Public Intoxication,155 Otey St NW (Graduate Life Center),3/15/24 22:59,Inactive: Referred to Student Conduct
2024-00 005665,3/15/24,Driving Under the Influence of Alcohol,290 College Avenue (Squires),3/15/23 23:30,CBA
2024-00 005669,6/16/24,Underage Possession of Alcohol,630 Washington Street (Pritchard Hall),6/16/2024 2,Inactive: Referred to Student Conduct
2024-00 005674,3/16/24,Public Intoxication,700 Washington St SW,3/16/24 0:06,CBA
2024-00 005676,3/16/24,Public Intoxication/Underage Possession of Alcohol,285 Ag Quad Ln (Dietrick Hall),3/16/24 1:14,Inactive: Referred to Student Conduct
2024-00 005684,3/16/24,Public Intoxication,205 S Main St (Main St Inn),3/16/24 2:43,CBA
2024-00 005695,3/16/24,Driving Under the Influence of Alcohol/ Underage Possession of Alcohol,1330 Perry St,3/16/24 4:51,CBA
2024-00 005711,3/16/24,Vandalism/destruction of Property,155 Otey St NW (Graduate Life Center),3/16/24 2:00,Inactive
2024-00 005717,3/16/24,Vandalism/destruction of Property,500 Drillfield Dr( Eggleston East),03/15/2024- 3/16/24 20:00,Inactive
2024-00 005721,3/16/24,"Larceny, theft from Building",700 Washington St SW (East AJ),3/16/24 2:00,Inactive
,,,,,
2024-00,3/16/24,"Fraud, Fake ID, Public Intoxication",630 Washington Street,3/16/24 17:43,Inactive: Referred to
005723 2024-00,3/16/24,"Fraud, Fake ID, Public Intoxication /False",(Pritchard Hall) 630 Washington Street,3/16/24 17:43,Student Conduct Inactive: Referred to
005723 2024-00,3/16/24,"Statement to Law Enforcement Public Intoxication, Underage Possession of",(Pritchard Hall) 570 Washington St SW (Hoge,3/16/24 18:33,Student Conduct Inactive: Referred to
005728 2024-00,3/16/24,"Alcohol Underage Posssession of Alcohol, Fake ID",Hall) 770 Washington St SW,3/16/24 18:48,Student Conduct Inactive: Referred to
005731 2024-00,3/16/24,Vandalism/destruction of Property,(Cochrane Hall) 155 Otey St NW (Graduate,3/16/24 2:00,Student Conduct Inactive
005733 2024-00,3/16/24,Underage Possession of Alcohol,Life Center) 630 Washington Street,3/16/24 19:49,Inactive: Referred to
005734 2024-00,3/16/24,Public Intoxication/Underage Possession of,(Pritchard Hall) 630 Washington Street,3/16/24 19:53,Student Conduct CBA
005735 2024-00,3/16/24,Alcohol/Fake ID Public Intoxication,(Pritchard Hall) 155 Otey St NW (Graduate,3/16/24 21:57,CBA
005747 2024-00,3/16/24,Underage Possession of Alcohol,Life Center) 605 Washington St (Hahn,3/16/24 22:18,Inactive: Referred to
005751 2024-00,3/16/24,Driving Under the Influence/Fake ID,Hurst Practice Facility) 605 Washington Street,3/16/24 23:05,Student Conduct CBA
005757 2024-00,3/17/24,Simple Assault,(Pritchard Hall) 185 Kent St (CID Bldg),3/17/24 0:03,Inactive
005760 2024-00,3/17/24,Falsely Summon Fire Department,2575 Oak Ln (SPH-G),3/17/24 0:38,Inactive: Referred to
005762 2024-00,3/17/24,Falsely Summon Fire Department,285 Ag Quad Ln (Dietrick,3/17/24 1:18,Student Conduct Inactive: Referred to
005765 2024-00,3/17/23,Vandalism/destruction of Property,Hall) 630 Washington Street,3/17/24 2:29,Student Conduct Inactive: Referred to
005773 2024-00,3/17/24,Public Intoxication,(Pritchard Hall) 185 Kent St (CID Bldg,3/17/24 3:20,Student Conduct CBA
5775,,,,,
,,,,,
2024-00 005809,3/18/24,Public Intoxication X 3/Trespassing/Public Exposure X 3,185 Beamer Way (Lane Stadium),3/18/24 1:01,Inactive: Referred to Student Conduct
2024-00 005824,3/18/24,Vandalism/destruction of Property,220 Gilbert St (  Tech Foundation),3/16/24 18:36,Active
2024-00 005870,3/18/24,Vandalism/destruction of Property,220 Gilbert St (  Tech Foundation),3/15/24 16:33,Active
2024-00 005891,3/18/24,"Larceny, theft from Building",410 Washington St SW (Miles Hall),3/18/24 17:34,Inactive
2024895 4,1/28/23,Underage Possession of Alcohol,610 Washington St (Peddrew Yates SW),1/27/24,Inactive: Referred by Student Conduct
2047995 0,1/5/24,Underage Possession of Alcohol,720 Washington St SW (West AJ),1/3/24,Inactive: Referred by Student Conduct
2024985 3,2/10/24,Underage Possession of Alcohol,410 Drillfield Dr (Eggleston West),2/10/24,Inactive: Referred by Student Conduct
2025026 2,2/17/24,Underage Possession of Alcohol,630 Washington Street (Pritchard Hall),2/17/24,Inactive: Referred by Student Conduct
2025115 5,3/2/24,Underage Possession of Alcohol,770 Washington St SW (Cochrane Hall),3/1/24,Inactive: Referred by Student Conduct
2025123 7,3/1/24,Underage Possession of Alcohol,Vawter Hall (180 Kent St),3/1/24,Inactive: Referred by Student Conduct
2024-00 006011,3/20/24,Public Intoxication,217 College Avenue (Squires Lot),3/20/24 1:35,CBS
Roanoke Police,0918/2023,Motor Vehicle Theft,108 N Jefferson St (Higher Ed Center parking lot),9/18/23,CBA
Dept 2024895,1/28/24,Underage Possession of Alcohol,610 Washington St (Peddrew,1/27/24,Inactive: Referred by
4 2024-00,3/20/24,"Larceny, all Other",Yates SW) 600 Washington St SW,03/19/2024- 19:00,Student Conduct Inactive
006026 2024-00,3/20/24,"Larceny, theft from Building",(outside Payne Hall) 727 Prices Fork Rd (Data &,3/20/24 3/19/24 08:30,Inactive
6039,,,Decision Sciences Bldg),,
,,,,,
2024-00 006052,3/20/24,Public Intoxication,190 West Campus Dr,3/20/24 21:50,CBA
2024-00 006138,3/21/24,"Public Intoxication, Underage Possession of Alcohol",2740 Oak Lane (SPH-B),3/21/24 23:32,Inactive: Referred to Student Conduct
2025013 9,2/15/24,"Larceny, theft from Building",430 Old Turner St (Dolci E Caffe in Turner Place),2/14/24,Inactive: Referred by Student Conduct
2025071 7,2/23/24,Underage Possession of Alcohol,240 Kent St (Whitehurst Hall),2/23/24,Inactive: Referred by Student Conduct
2025079 0,2/25/24,Underage Possession of Alcohol,310 Alumni Mall (Pearson Hall West),2/25/24,Inactive: Referred by Student Conduct
2025115 4,3/2/24,Underage Possession of Alcohol  X 2,201 Ag Quad Lane (Slusher Wing),3/2/24,Inactive: Referred by Student Conduct
2024-00 006219,3/22/24,Simple Assault,260 Alumni Mall (Pearson Hall East),3/14/24 6:00,Inactive
2024-00 006283,3/23/24,Public Intoxication,720 Washington St SW (West AJ),3/24/2024 38,Inactive: Referred to Student Conduct
2024-00 006284,3/23/24,Public Intoxication,201 Draper Rd (near Armory Bldg),3/23/2024 43,CBA
2024-00 006295,3/23/24,Underage Possession of Alcohol,630 Washington Street (Pritchard Hall),3/23/24 2:49,Inactive: Referred to Student Conduct
2024-00 006389,3/24/24,"Larceny, theft from Building",410 Drillfield Dr (Eggleston West),03/22/2024- 3/23/24 23:00,Inactive
2024-00 006401,3/24/24,Underage Possession of Alcohol X 2,190 W Campus Dr (Wall St near CID),3/24/24 2:11,Inactive: Referred to Student Conduct
2024-00 006402,3/24/24,Public Intoxication/Possession of Schedule II Controlled Substance,155 Otey St NW (Graduate Life Center),3/24/24 2:21,CBA
