Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 25-035628,Assault with Dangerous Weapon / Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Squad Accident,02/12/2025 1327,2/12/25,7th St S / Cedar Ave S,
UM 25-033923,Theft,10/15/2024 1200,2/12/25,1300 2nd St S,
UM 25-035393,Auto Theft,02/12/2025 0526,2/12/25,1034 27th Ave ,
UM 25-035793,Crisis Intervention,02/12/2025 1540,2/12/25,1 Washington Ave ,Closed
UM 25-036086,Warrant,02/12/2025 2044,2/12/25,1625 4th St ,Arrest
TC25-012,Liquor Law Violation x5,2/8/25 23:55,2/12/25,17th Avenue Residence Hall,Disciplinary Referral
TC25-013,Liquor Law Violation x2,2/8/25 23:45,2/12/25,17th Avenue Residence Hall,Disciplinary Referral
UM 25-035365,Auto Theft,02/11/2025 0300,2/12/25,1278 Fifield Pl,Inactive
UM 25-034687,Damage to Property Graffiti,02/10/2025 1534,2/11/25,269 19th Ave S,
UM 25-035045,Miscellaneous,02/11/2025 1754,2/11/25,901 29th Ave ,Closed
TC25-011,Stalking,November 2024 - Prent,2/11/25,Sanford Hall,Reported
TC25-011,Dating Violence,November 2024 - Prent,2/11/25,Sanford Hall,Reported
UM 25-033822,Theft from Building,02/10/2025 0830,2/10/25,222 Pleasant St ,
UM 25-033858,Warrant,02/10/2025 1015,2/10/25,Franklin Ave E / 16th Ave S,Arrest
UM 25-033881,Burglary of Business,02/10/2025 1057,2/10/25,267 19th Ave S,Closed
UM 25-033978,Auto Theft,02/10/2025 1100,2/10/25,909 Fulton Ave ,
UM 25-034169,Driving After Revocation,02/10/2025 1714,2/10/25,1900 University Ave ,Closed
UM 25-034375,No Valid Driver's Licen,02/10/2025 2209,2/10/25,4th St  / 8th Ave ,Closed
UM 25-029160,Impound Abandoned Vehicle,02/04/2025 1401,2/4/25,Buford Ave / Eckles Ave,Closed
MP 25-33309,Hit and Run-Property Damager,2/9/25 14:45,2/10/25,Huron Blvd  & Delaware St,Reported
MP 25-29622,Narcotics Violation,2/5/25 12:45,2/10/25,4th St  & 14th Ave ,Reported
UM 25-032983,Theft / Obstruct Legal Process,02/09/2025 0123,2/9/25,2501 University Ave ,Closed
UM 25-033517,Trespass,02/09/2025 2040,2/9/25,310 15th Ave ,Closed
UM 25-032193,Warrant / Traffice Law Enforcement,02/08/2025 0157,2/8/25,4th St  / 16th Ave ,Arrest
UM 25-032238,U of Force,02/08/2025 0005,2/8/25,4th St  / I35W Frontage Road,Closed
UM 25-032652,DWI Refusal / Consump-Liquor by Minor,02/08/2025 1842,2/8/25,4th St  / 12th Ave ,
UM 25-032712,Package Theft,02/08/2025 1712,2/8/25,1207 Gibbs Ave,
UM 25-031409,Recover Property,02/06/2025 1850,2/7/25,515 Delaware St ,Closed
UM 25-031481,Driving After Revocation / No Proof of Insurance,02/07/2025 0953,2/7/25,9th Ave  / 8th St ,Closed
UM 25-031902,Hit/Run No Injury,02/07/2025 1840,2/7/25,Walnut St  / Washington Ave,
UM 25-031991,Theft from Building,02/07/2025 1700,2/7/25,123 Harvard St ,
UM 25-032051,Trespass / Warrant,02/07/2025 2208,2/7/25,615 Washington Ave ,Closed
UM 25-031283,Obstruct Legal Process / Warrant,02/07/2025 0038,2/7/25,300 19th Ave S,
UM 25-030866,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/02/2025 1350,2/6/25,1625 4th St ,Inactive
UM 25-030733,Theft from Building,02/05/2025 1800,2/6/25,128 Pleasant St ,Inactive
UM 25-030734,Recover Property,02/06/2025 1133,2/6/25,505 Washington Ave ,Closed
UM 25-030810,Auto Theft,02/06/2025 1030,2/6/25,420 25th Ave ,Inactive
UM 25-030929,Bike Theft,02/04/2025 2230,2/6/25,330 15th Ave ,
UM 25-030932,Damage to Property,02/06/2025 1600,2/6/25,222 Pleasant St ,
UM 25-031061,Auto Theft,02/06/2025 1730,2/6/25,420 25th Ave ,Inactive
TC25-009,Liquor Law Violation,2/2/25 1:15,2/6/25,Frontier Hall,Disciplinary Referral
TC25-010,Liquor Law Violation,2/2/25 1:15,2/6/25,Frontier Hall,Disciplinary Referral
UM 25-030512,Warrant / U of Force,02/06/2025 0231,2/6/25,505 Malcolm Ave ,Arrest
UM 25-031257,Burglary of Dwelling,02/04/2025 0000,2/6/25,2500 University Ave ,Inactive
UM 25-029818,Trespass,02/05/2025 0916,2/5/25,615 Washington Ave ,Closed
UM 25-029980,Warrant / No Valid Driver's Licen,02/05/2025 1337,2/5/25,24 30th Ave ,Closed
UM 25-030331,Auto Theft,02/03/2025 1300,2/5/25,5th Ave  / 10th Ave ,
UM 25-030337,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Fail to Stop,02/05/2025 2038,2/5/25,6th St  / 25th Ave ,Closed
UM 25-030379,Driving While Intoxicated,02/05/2025 2142,2/5/25,Broadway St NE / Stinson Blvd,Arrest
TC25-007,Stalking,January 2025 - Prent,2/4/25,Mondale Hall,Reported
TC25-008,Stalking*,25-Jan,2/4/25,Minneapolis Campus (Electronic),Reported
UM 25-029074,Stolen Property Offen / Recovered Vehicle / Warrant / U of Force,02/04/2025 1225,2/4/25,3329 University Ave ,
UM 25-029165,Impound Abandoned Vehicle,02/04/2025 1413,2/4/25,222 Pleasant St ,Closed
TC25-007,Stalking,January 2025 - Prent,2/4/25,Mondale Hall,Reported
TC25-008,Stalking*,25-Jan,2/4/25,Minneapolis Campus (Electronic),Reported
UM 25-028686,Damage to Property Graffiti,02/03/2025 2247,2/4/25,1 Washington Ave ,
UM 25-028103,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/30/2025 0730,2/3/25,385 East River Pkwy,Inactive
UM 25-028264,Warrant,02/03/2025 1331,2/3/25,1625 4th St ,Closed
UM 25-028300,Theft from Buildling / Damage to Property,01/27/2025 1300,2/3/25,269 19th Ave S,Inactive
UM 25-027084,Health Welfare Hold,02/01/2025 1200,2/2/25,701 Fulton St ,Closed
UM 25-027383,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/31/2025 2200,2/2/25,1007 5th St ,
UM 25-026152,Narcotics Violation / Suspicious Fire,02/01/2025 0030,2/1/25,University Ave  / 23rd Ave,
UM 25-026302,Trespass,02/01/2025 0701,2/1/25,1000 University Ave ,Closed
UM 25-026396,Trespass,02/01/2025 1051,2/1/25,110 Union St ,Arrest
UM 25-026435,Register x Offender,02/01/2025 1207,2/1/25,271 19th Ave S,
UM 25-026807,Trespass,02/01/2025 2014,2/1/25,304 15th Ave ,Closed
UM 25-026808,Miscellaneous,02/01/2025 1930,2/1/25,1180 Gibbs Ave,Closed
UM 25-026907,Traffic Law Enforcement,02/01/2025 2200,2/1/25,4th St  / 12th Ave ,Closed
UM 25-025462,Warrant,01/31/2025 1219,1/31/25,1205 University Ave ,
UM 25-025478,Harassment,01/31/2025 1230,1/31/25,326 17th Ave ,
UM 25-025526,Damage to Property Report,01/31/2025 0430,1/31/25,401 Oak St ,Inactive
UM 25-025614,Disruptive Behavior,01/31/2025 1430,1/31/25,515 Delaware St ,
UM 25-025904,Harassment,01/31/2025 1957,1/31/25,1212 University Ave ,
UM 25-025946,No Valid Driver's Licen,01/31/2025 2049,1/31/25,19th Ave S / 3st St S,Closed
MP 25-701335,Hit and Run-Unattended Vehicle,1/27/25 13:30,1/30/25,Esx St  & Huron Blvd ,Reported
UM 25-024435,Theft from Coin Operated Device / Damage to Property,01/06/2025 1030,1/30/25,269 19th Ave S,Inactive
UM 25-024549,Illegal U of Handicap Parking,01/30/2025 1311,1/30/25,315 Pillsbury Dr ,Closed
UM 25-024766,No Valid Driver's Licen / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Speeding,01/30/2025 1616,1/30/25,Como Ave / Carter Ave,Closed
UM 25-025036,Harassment,01/30/2025 2140,1/30/25,1458 Cleveland Ave N,Inactive
UM 25-025079,Driving After Revocation,01/30/2025 2257,1/30/25,Pleasant St  / Arlington St,Closed
UM 25-024219,Driving After Revocation,01/30/2025 0302,1/30/25,14th Ave  / University Ave,Closed
UM 25-023942,Theft,01/29/2025 1545,1/29/25,500 21st Ave ,Inactive
UM 25-023910,Bike Theft,01/22/2025 1800,1/29/25,412 22nd Ave S,Inactive
UM 25-023921,Register x Offender,01/29/2025 1753,1/29/25,17th Ave  / University Ave,Arrest
UM 25-024004,Reckless Driving,01/29/2025 1956,1/29/25,University Ave  / 15th Ave,Closed
UM 25-24114,Driving After Revocation / Fail to Stop at Sign,01/29/2025 2229,1/29/25,Church St  / Pillsbury Dr ,Closed
UM 25-023029,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,01/28/2025 1613,1/28/25,2001 Bloomington Ave,
UM 25-023312,Driving After Suspension,01/28/2025 2227,1/29/25,University Ave  / 13th Ave,Closed
UM 25-023387,Driving After Suspension,01/29/2025 0042,1/29/25,University Ave  / 17th Ave,Closed
UM 25-022880,Theft from Building,01/27/2025 1535,1/28/25,9 Pleasant St ,Inactive
UM 25-023071,Trespass,01/28/2025 1722,1/28/25,615 Washington Ave ,Closed
UM 25-023280,Trespass,01/28/2025 2132,1/28/25,2106 4th St S,Closed
TC25-006,Liquor Law Violation x12,1/21/25 20:00,1/28/25,Pioneer Hall,Disciplinary Referral
TC24-166,Simple Assault - xual Orientation Bias,9/14/24 23:30,1/28/25,Washington Ave.  And Walnut St,Reported
TC25-003,Liquor Law Violation x6,1/20/25 20:17,1/27/25,Yudof Hall,Disciplinary Referral
TC25-004,Rape*,Summer 2024,1/27/25,On Campus,Reported
TC25-005,Drug Law Violation x2,1/27/25,1/27/25,Middlebrook Hall,Disciplinary Referral
UM 25-021901,Damage to Property,01/16/2025 2359,1/27/25,516 Delaware St ,Inactive
UM 25-021951,Trespass / Warrant,01/27/2025 1149,1/27/25,717 Delaware St ,Arrest
UM 25-021994,Bike Theft,01/25/2025 1230,1/27/25,317 17th Ave ,Inactive
UM 25-022376,Theft from Building,01/27/2025 1330,1/27/25,500 21st Ave S,
UM 25-022391,Health Welfare Hold,01/27/2025 2133,1/27/25,10th Ave Bridge,Closed
MP 25-700930,Hit and Run-Unattended Vehicle,1/21/25 12:00,1/27/25,23rd Ave S & Riverside Ave,Reported
MP 25-700941,Theft,1/20/25 11:30,1/27/25,646 16th Ave ,Reported
UM 25-021681,Trespass,01/27/2025 0026,1/27/25,501 Washington Ave ,Closed
UM 25-021779,Non-Vehicular Accident,01/27/2025 0711,1/27/25,159 Pillsbury Dr ,Closed
UM 25-020831,No Proof of Insurance / Driving After Suspension,01/25/2025 2241,1/26/25,University Ave  / 11th Ave,Closed
UM 25-020886,No Proof of Insurance,01/25/2025 2345,1/26/25,University Ave  / Church St,Closed
UM 25-020900,No Valid Driver's Licen / No Insurance on,01/26/2025 0001,1/26/25,15th Ave  / 6th St ,Closed
UM 25-020962,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/26/2025 0116,1/26/25,Eastbound Hwy 94 at Vandalia,Closed
UM 25-021409,U of Force,01/26/2025 1719,1/26/25,420 Washington Ave ,Closed
UM 25-021567,No Valid Driver's Licen,01/26/2025 2051,1/26/25,23rd Ave  / Transitway,Closed
UM 25-019980,Burglary of Dwelling / Damage to Property /,01/25/2025 0007,1/25/25,1000 University Ave ,
UM 25-019943,Posssion of Burglary Tools,01/24/2025 2322,1/25/25,10th Ave  / Como Ave ,Closed
UM 25-020038,Trespass / Warrant,01/25/2025 0132,1/25/25,300 19th Ave ,Closed
UM 25-020614,Driving After Revocation,01/25/2025 1914,1/25/25,6th St  / 23rd Ave ,Closed
UM 25-019503,Warrant / Missing Person,01/24/2025 1420,1/24/25,505 Malcolm Ave ,Arrest
UM 25-019509,Damage to Property,01/20/2025 2344,1/24/25,1 Washington Ave ,Inactive
UM 25-019694,Theft,01/24/2025 1330,1/24/25,2106 4th St ,Inactive
UM 25-019733,Assist Other Agency,01/24/2025 1854,1/24/25,Delaware St  / Huron Blvd,Arrest
UM 25-019868,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/24/2025 2143,1/24/25,4th St  / 15th Ave ,
UM 25-018415,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/22/2025 1830,1/23/25,2010 6th St ,
UM 25-018449,Trespass / Warrant,01/23/2025 0950,1/23/25,301 19th Ave S,Arrest
UM 25-018782,Recover Property,01/23/2025 1720,1/23/25,207 Pleasant St ,Closed
UM 25-017773,Bike Theft,11/01/2024 0000,1/22/25,2017 Buford Ave,Inactive
UM 25-017775,Theft from Building,01/20/2025 1130,1/22/25,500 Harvard St ,
UM 25-017887,Auto Theft,01/22/2025 1542,1/22/25,21st Ave  / 5th St ,Inactive
UM 25-017524,Auto Theft,01/22/2025 0645,1/22/25,1009 University Ave ,
UM 25-017923,Carry a Weapon without a Permit,01/22/2025 1630,1/22/25,Riverside Ave / Interstate 94,
UM 25-017357,Miscellaneous,01/21/2025 2200,1/21/25,500 Harvard St ,Closed
UM 25-017080,Miscellaneous,01/15/2025 1200,1/21/25,300 Washington Ave ,
UM 25-017321,Domestic Assault,01/21/2025 1939,1/21/25,1191 Gibbs Ave,
UM 25-016610,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/20/2025 2124,1/20/25,Cedar Ave / Riverside Ave,Closed
UM 25-015321,Assist Other Agency,01/19/2025 0120,1/19/25,805 15th Ave ,Closed
UM 25-015335,Obstruct Legal Process / U of Force,01/19/2025 0145,1/19/25,615 Washington Ave ,Arrest
UM 25-015443,Recover Property,01/19/2025 0729,1/19/25,Washington Ave  / Walnut,Closed
UM 25-015550,Warrant,01/19/2025 1208,1/19/25,421 Washington Ave ,Arrest
UM 25-015596,Warrant,01/19/2025 1325,1/19/25,500 Harvard St ,Arrest
UM 25-015616,Trespass,01/19/2025 1330,1/19/25,615 Washington Ave ,Closed
UM 25-015767,Theft,01/19/2025 1639,1/19/25,500 Harvard St ,
UM 25-014307,U of Force,01/17/2025 2053,1/18/25,422 6th St ,Closed
UM 25-014441,No Valid Driver's Licen / Warrant,01/17/2025 2337,1/18/25,Huron Blvd  / Esx St ,Closed
UM 25-014731,Miscellaneous,01/18/2025 1219,1/18/25,1212 4th St ,Closed
UM 25-015129,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Driving After Revocation / Speeding / Fail to Signal Turn,01/18/2025 2125,1/18/25,Huron Blvd  to I94 on Ramp,Closed
UM 25-015152,Register x Offender / Driving After Revocation,01/18/2025 2154,1/18/25,Ontario St  / Washington Ave,Closed
UM 25-013750,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,01/17/2025 1024,1/17/25,1501 University Ave ,Closed
UM 25-013776,Domestic Assault Strangulation / Warrant,01/17/2025 1045,1/17/25,425 Erie St ,
UM 25-013797,Burglary of Business,01/10/2025 0000,1/17/25,600 Main St ,Inactive
UM 25-014065,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/17/2025 1628,1/17/25,4th St  / 15th Ave ,Closed
UM 25-014297,Obstruct Legal Process / Driving After Suspension,01/17/2025 2040,1/17/25,University Ave  / 15th Ave,Arrest
UM 25-013025,Squad Accident,01/16/2025 1309,1/16/25,University Ave  / 15th Ave,Closed
UM 25-012862,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,01/10/2025 1600,1/16/25,1250 Fifield ST,Inactive
UM 25-013447,Domestic Assault,01/16/2025 2210,1/16/25,930 University Ave ,
UM 25-012111,Miscellaneous,01/15/2025 1115,1/15/25,515 Delaware St ,
UM 25-012252,Harassment,12/04/2024 0700,1/15/25,1925 University Ave ,
UM 25-012491,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Credit Card/ATM Fraud,01/14/2025 2000,1/15/25,1988 Knapp St,
UM 25-011521,Theft from Building,01/14/2025 1300,1/14/25,410 Church St ,Closed
TC24-164,Liquor Law Violation,12/19/24 20:00,1/14/25,Bailey Hall,Disciplinary Referral
TC24-165,Theft,12/19/24 21:00,1/14/25,Bailey Hall,Disciplinary Referral
TC25-002,Rape,12/1/23,1/14/25,Middlebrook Hall,Reported
MP 25-10036,Assault,1/12/25 17:38,1/14/25,2450 Riverside Ave S,Reported
MP 25-8270,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,1/9/25 6:00,1/14/25,1811 5th St ,Reported
MP 25-9987,Hit and Run-No Injury,1/12/25 16:11,1/14/25,10th Ave  & University Ave,Reported
UM 25-010850,Driving After Revocation,01/13/2025 1753,1/13/25,Ontario St  / University Ave,Closed
UM 25-111049,No Valid Driver's Licen,01/13/2025 2324,1/13/25,407 15th Ave ,Closed
TC24-154,Liquor Law Violation x2,12/19/24 21:45,1/13/25,Frontier Hall,Disciplinary Referral
TC24-155,Theft,12/19/24 20:00,1/13/25,Frontier Hall,Disciplinary Referral
TC24-156,Liquor Law Violation x2,12/19/24 21:20,1/13/25,Territorial Hall,Disciplinary Referral
TC24-157,Liquor Law Violation,12/19/24,1/13/25,Territorial Hall,Disciplinary Referral
TC24-158,Theft,12/19/24 22:37,1/13/25,Territorial Hall,Reported
TC24-159,Liquor Law Violation x4,12/20/24 16:30,1/13/25,Radius Apartments,Disciplinary Referral
TC24-160,Liquor Law Violation,4/26/24 3:00,1/13/25,Pioneer Hall,Disciplinary Referral
TC24-161,Liquor Law Violation,10/26/24 3:21,1/13/25,Territorial Hall,Disciplinary Referral
TC24-162,Liquor Law Violation,10/25/24 20:09,1/13/25,Territorial Hall,Disciplinary Referral
TC24-163,Liquor Law Violation,6/22/24 22:05,1/13/25,17th Avenue Residence Hall,Disciplinary Referral
UM 25-009657,Crisis Intervention / Health Welfare Hold,01/12/2025 0147,1/12/25,1401 6th St ,Closed
UM 25-009789,Damage to Property,01/12/2025 0919,1/12/25,421 Washington Ave ,Inactive
UM 25-009978,Fal Name / Warrant,01/12/2025 1547,1/12/25,300 19th Ave S,Arrest
UM 25-008789,U of Force,01/11/2025 0015,1/11/25,Unviersity Ave  / 29th Ave,Closed
UM 25-009134,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/11/2025 1312,1/11/25,401 Oak St ,Inactive
UM 25-009242,Trespass,01/11/2025 1653,1/11/25,501 Washington Ave ,Closed
UM 25-009374,Driving After Revocation,01/11/2025 1912,1/11/25,Pleasant St  / University Ave,Closed
UM 25-009451,No Proof of Insurance,01/11/2025 2056,1/11/25,600 Main St ,Closed
UM 25-008257,No Valid DL / Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Property,01/10/2025 1315,1/10/25,Washington Ave S / Cedar Ave,Closed
UM 25-008560,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,01/10/2025 1722,1/10/25,1925 Unviersity Ave ,Inactive
TC25-001,Stalking,2020 - Prent,1/10/25,Minneapolis Campus,Reported
TC24-148,Liquor Law Violation x2,12/19/24 21:00,1/10/25,Comstock Hall,Disciplinary Referral
TC24-149,Liquor Law Violation x3,12/19/24 21:00,1/10/25,Comstock Hall,Disciplinary Referral
TC24-150,Liquor Law Violation,12/19/24 17:45,1/10/25,Radius Apartments,Disciplinary Referral
TC24-151,Liquor Law Violation x2,12/20/24 10:00,1/10/25,Radius Apartments,Disciplinary Referral
TC24-152,Drug Law Violation,12/19/24 12:15,1/10/25,Pioneer Hall,Disciplinary Referral
TC24-153,Liquor Law Violation x2,12/19/24 21:00,1/10/25,Frontier Hall,Disciplinary Referral
TC24-147,Liquor Law Violation x2,12/18/24 17:00,1/10/25,Radius Apartments,Disciplinary Referral
UM 25-007470,Lost Property - No Crime,01/07/2025 0830,1/9/25,717 Delaware St ,Closed
UM 25-006188,Theft from Building,12/31/2024 0000,1/8/25,229 19th Ave S,Inactive
UM 25-006404,No Valid Driver's Licen,01/08/2025 1217,1/8/25,Delaware St  / 25th Ave ,Closed
UM 25-006512,No Valid Driver's Licen / No Insurance on,01/08/2025 1415,1/8/25,Como Ave  / 12th Ave ,Closed
,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,,,,
UM 25-006520,Theft by Swindle,12/10/2024 1930,1/8/25,425 14th Ave ,Closed
UM 25-006634,No Valid Driver's Licen,01/08/2025 1622,1/8/25,University Ave  / 23rd Ave,Closed
UM 25-006729,Obstruct Legal Process / Warrant / Driving After Cancellation,01/08/2025 1745,1/8/25,16th Ave  / 4th St ,Arrest
UM 25-006879,Health Welfare Hold,01/08/2025 2004,1/8/25,1072 25th Ave ,Closed
UM 25-005110,Trespass,01/06/2025 2359,1/7/25,257 19th Ave S,Closed
UM 25-005363,Miscellaneous,01/07/2025 1035,1/7/25,615 Fulton St ,
UM 25-004534,Burglary of Business,01/02/2025 0000,1/6/25,600 Main St ,Inactive
UM 25-004832,Theft from Building,01/03/2025 1630,1/6/25,229 19th Ave S,
UM 25-004858,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,01/06/2025 1707,1/6/25,385 East River Pkwy,Inactive
UM 25-004980,No Valid Driver's Licen,01/06/2025 2012,1/6/25,4th St  / 10th Ave ,Closed
TC24-142,Liquor Law Violation x3,12/19/24 21:00,1/6/25,Keeler Apartments,Disciplinary Referral
TC24-143,Liquor Law Violation x2,12/19/24 21:02,1/6/25,Keeler Apartments,Disciplinary Referral
TC24-144,Theft,12/19/24 21:09,1/6/25,Keeler Apartments,Reported
TC24-145,Theft,12/19/24 21:00,1/6/25,17th Avenue Residence Hall,Reported
TC24-146,Theft,12/19/24 21:30,1/6/25,Comstock Hall,Reported
UM 25-004379,Criminal xual Conduct-Molest,01/06/2025 0245,1/6/25,500 Harvard St ,
UM 25-004004,U of Force,01/05/2025 1715,1/5/25,354 East River Pkwy,Closed
UM 25-004074,Driving After Revocation,01/05/2025 1900,1/5/25,4th St  / 11th Ave ,Closed
UM 25-003062,Non-Vehicular Accident,01/04/2025 1208,1/4/25,2088 Larpenteur Ave W,Closed
UM 25-003316,Identity Theft / Trespass,01/04/2025 1825,1/4/25,200 Oak St ,
UM 25-003346,Hit/Run Property Damage,01/04/2025 1900,1/4/25,324 14th Ave ,Inactive
UM 25-002070,Burglary of Business,12/30/2024 1200,1/3/25,2017 Buford Ave,
UM 25-002251,Theft from Building,01/03/2025 1350,1/3/25,2615 University Ave ,
TC24-141,Rape*,24-Dec,1/3/25,Minneapolis Campus,Reported
MP 24-370985,Assault,12/31/24 21:42,1/3/25,2312 6th St S,Reported
MP 24-719538,Hit and Run Unattended Vehicle,12/30/24 15:21,1/3/25,Huron Blvd S & Fulton St ,Reported
UM 25-001166,Driving After Revocation,01/02/2025 0859,1/2/25,Cedar Ave S / 20th Ave S,Closed
UM 25-001269,Theft from Building,01/02/2025 0845,1/2/25,909 Fulton St ,
TC24-140,Theft,12/19/24,1/2/25,Middlebrook Hall,Reported
UM 25-000945,Traffic Law Enforcement,01/01/2025 2316,1/1/25,18th Ave  / Como Ave ,Closed
